name,price_level,rating,types,user_ratings_total,lat,lng,closest_metro,closest_metro_km,Quantity of nearest museum,Quantity of nearest art_gallery,Quantity of nearest shopping_mall,Quantity of nearest places_tourist_attraction,Quantity of nearest same establishment,opportunity_take_away,"distance_to_center, km",result
Chito-Gvrito,2.0,3.6,"['cafe', 'food', 'point_of_interest', 'establishment']",13.0,59.8260572,30.37961639999999,['Купчино'],0.4878613510274166,0,0,32,2,14,0,12.437813485208808,46.800000000000004
Pirogov Dvorik,2.0,4.6,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",603.0,59.82729450000001,30.398397,['Купчино'],1.3218616909388738,0,0,4,0,14,0,12.609519645485195,2773.7999999999997
Doner Kebab DKC,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",29.0,59.82827440000001,30.39832569999999,['Дунайская'],1.2886829334137484,0,0,5,0,18,0,12.505113512015498,133.39999999999998
Bistro Nomer 1,,3.9,"['cafe', 'food', 'point_of_interest', 'establishment']",7.0,59.832412,30.50117100000001,['Рыбацкое'],0.16851471197266746,0,0,13,2,13,0,15.050482509696499,27.3
33 Pingvina,2.0,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.831486100000006,30.5018408,['Рыбацкое'],0.09849677497825744,0,0,13,2,13,0,15.153007840958649,9.0
Bushe,2.0,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",98.0,59.8316121,30.50185259999999,['Рыбацкое'],0.10816969470272024,0,0,13,2,13,0,15.14283085115145,431.20000000000005
Go!Кофе,,3.3,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,59.831752,30.50503299999999,['Рыбацкое'],0.27211170446319244,0,0,13,2,13,0,15.248567478227935,19.799999999999997
Hardwork Cafe,,3.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.8314819,30.5018516,['Рыбацкое'],0.0986900680580804,0,0,13,2,13,0,15.153758050933146,7.0
Al' Shark,,2.8,"['cafe', 'food', 'point_of_interest', 'establishment']",10.0,59.83149529999998,30.501817,['Рыбацкое'],0.0980866717486859,0,0,13,2,13,0,15.151359285552623,28.0
Coffee Like,2.0,3.6,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,59.831571,30.5018109,['Рыбацкое'],0.1033336104153296,0,0,13,2,13,0,15.144759811419284,18.0
Petergofskiye Pekarni,,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",137.0,59.8417682,30.1131965,['Проспект Ветеранов'],7.756564670984442,0,0,0,0,1,0,15.682710260707923,602.8000000000001
Laguna,,4.0,"['cafe', 'food', 'point_of_interest', 'establishment']",8.0,59.83690609999999,30.142378000000004,['Проспект Ветеранов'],6.1459396967404745,0,0,3,2,13,0,14.880576279685942,32.0
Kafe-Bar Stepka,1.0,4.0,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",121.0,59.83582649999999,30.13248649999999,['Проспект Ветеранов'],6.7096143388535054,0,0,3,2,11,0,15.351123682479896,484.0
Bkychaya Shaverma,,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",14.0,59.8397564,30.13981979999999,['Проспект Ветеранов'],6.268544564161023,0,0,3,2,14,0,14.750603307407696,58.800000000000004
"Ooo ""Pam Limited""",,3.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.83701749999999,30.1431226,['Проспект Ветеранов'],6.103236778001957,0,0,3,2,13,0,14.84297613318851,3.0
Khlebnaya Usad'ba,2.0,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",10.0,59.83562559999999,30.141275399999994,['Проспект Ветеранов'],6.22198917548004,0,0,3,2,13,0,15.02701845592674,44.0
Shaverma 24,2.0,4.1,"['cafe', 'food', 'point_of_interest', 'establishment']",36.0,59.8348422,30.1464393,['Проспект Ветеранов'],5.945301099621147,0,0,5,2,13,0,14.895984131130035,147.6
"Kafe ""Bukhara""",2.0,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",71.0,59.83437610000001,30.1476363,['Проспект Ветеранов'],5.885967024255232,0,0,5,2,12,0,14.890007428976237,312.40000000000003
Shaurma,,4.1,"['cafe', 'food', 'point_of_interest', 'establishment']",12.0,59.8338121,30.1476941,['Проспект Ветеранов'],5.892065410711187,0,0,5,2,12,0,14.93490745441335,49.199999999999996
Inzhir,,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",156.0,59.84265960000001,30.13078470000001,['Проспект Ветеранов'],6.770919029666686,0,0,4,1,5,0,14.885677612259668,686.4000000000001
"Strelets, Kofeynya",2.0,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",61.0,59.834807100000006,30.1574583,['Проспект Ветеранов'],5.334042418401882,0,0,2,0,7,0,14.493353536444573,268.40000000000003
Kafe Rustavi,,3.4,"['cafe', 'food', 'point_of_interest', 'establishment']",17.0,59.83692339999998,30.1462792,['Проспект Ветеранов'],5.9279409155618605,0,0,3,2,13,0,14.730359155644868,57.8
Tsekh85,2.0,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",358.0,59.8346032,30.1769062,['Проспект Ветеранов'],4.2628471143253925,0,0,3,0,8,0,13.83406730343319,1611.0
Kafe Vostochnaya Kukhnya,2.0,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",187.0,59.833505,30.176151,['Проспект Ветеранов'],4.32920701207061,0,0,3,0,9,0,13.957592326699933,822.8000000000001
Пироговый Дворик,2.0,4.6,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",783.0,59.8328247,30.2062626,['Проспект Ветеранов'],2.7321212332395497,1,0,11,0,14,0,13.09046401101524,3601.7999999999997
Vostok,,3.7,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,59.838215700000006,30.2052425,['Проспект Ветеранов'],2.6279318156469973,0,0,11,2,11,0,12.60580904939145,22.200000000000003
"Street Food Inc ""Shaverma""",,4.0,"['cafe', 'food', 'point_of_interest', 'establishment']",41.0,59.8330248,30.2162826,['Проспект Ветеранов'],2.209639207356104,1,0,9,0,11,0,12.796285721546342,164.0
Vostochnaya Skazka,2.0,3.7,"['cafe', 'food', 'point_of_interest', 'establishment']",169.0,59.8330813,30.2170476,['Проспект Ветеранов'],2.168486151478105,1,0,9,0,9,0,12.77050862538398,625.3000000000001
Mini Pekarnya,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.8381634,30.2313042,['Проспект Ветеранов'],1.2079566956150416,4,0,2,2,8,0,11.902937166564698,10.0
Pita Grill,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.83904,30.23273889999999,['Проспект Ветеранов'],1.1007700141510224,4,0,2,2,8,0,11.779958044807657,5.0
Pekarnya Tili Testo,,2.8,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,59.84076,30.238446000000003,['Проспект Ветеранов'],0.7448356782497775,4,0,10,0,14,0,11.469962157219186,14.0
Shaverma,,4.1,"['cafe', 'food', 'point_of_interest', 'establishment']",42.0,59.84118760000001,30.23609050000001,['Проспект Ветеранов'],0.8697971975133372,4,0,10,0,13,0,11.482932347206905,172.2
Batonchik,2.0,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",160.0,59.8406224,30.2584007,['Проспект Ветеранов'],0.4092238172408668,0,0,14,0,13,0,11.06197068363535,720.0
Kafe,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",15.0,59.8364529,30.26961049999999,['Проспект Ветеранов'],1.1797714673037416,0,0,2,0,2,0,11.314649001343492,69.0
Shaverma Vkusnaya,,2.7,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.84096829999999,30.2541566,['Проспект Ветеранов'],0.17829685950959648,0,0,14,0,13,0,11.107615779338607,8.100000000000001
Gloriya,,3.0,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.84133900000001,30.2535271,['Проспект Ветеранов'],0.12652063868125255,0,0,14,0,14,0,11.081579552230586,6.0
Safari,1.0,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",51.0,59.838484,30.2521679,['Проспект Ветеранов'],0.3799657760324846,0,0,12,0,11,0,11.405941858707388,219.29999999999998
Shaverma,,1.7000000000000002,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.84194830000001,30.253985,['Проспект Ветеранов'],0.13712446542088955,0,0,14,0,14,0,11.009005875017575,5.1000000000000005
Mitsar,,3.5,"['cafe', 'food', 'point_of_interest', 'establishment']",8.0,59.836292500000006,30.3171665,['Московская'],1.7937468441141309,0,0,0,2,4,0,10.915429820849829,28.0
"Toploye Mesto, Pekarnya",,4.0,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,59.83855,30.337688,['Звёздная'],0.8938405488017656,0,1,7,2,19,0,10.682012465011915,24.0
Khinkal'naya,,4.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.84029920000001,30.3367661,['Звёздная'],1.0676258186226288,0,0,7,2,15,0,10.484091656529015,4.0
Aragva,,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",36.0,59.835813,30.3362109,['Звёздная'],0.8050147485584372,1,0,14,2,19,0,10.980960697574915,154.79999999999998
