name,price_level,rating,types,user_ratings_total,lat,lng,closest_metro,closest_metro_km,Quantity of nearest museum,Quantity of nearest art_gallery,Quantity of nearest shopping_mall,Quantity of nearest places_tourist_attraction,Quantity of nearest same establishment,opportunity_take_away,"distance_to_center, km",result
Prichal 17,2.0,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",224.0,59.903851,30.43635,['Елизаровская'],1.0677540240935792,0,2,0,1,13,0,7.113796513931132,985.6000000000001
Shaverma Yevro Kebab,,5.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,59.90497239999999,30.4690551,['Улица Дыбенко'],0.8477153935976769,1,0,2,2,23,0,8.719035726295177,20.0
Budu Sushi,,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",14.0,59.90395359999999,30.5123834,['Улица Дыбенко'],1.6771130474116698,0,0,1,0,26,0,11.038823308314392,57.39999999999999
V Gostyakh U Gruzina,,3.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",26.0,59.90474700000001,30.5223708,['Улица Дыбенко'],2.209318799543247,0,0,1,0,20,0,11.546516026013487,98.8
pro100.cafe,,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",44.0,59.90783800000001,30.2475289,['Нарвская'],1.6911322840256968,4,2,1,6,9,0,5.209524087515834,198.0
Svet Vostoka,2.0,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",405.0,59.911506,30.27725599999999,['Нарвская'],1.1606662036694746,2,2,4,10,34,0,3.6552784734886923,1741.5
Zolotaya Rybka,,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",316.0,59.908542,30.291354100000003,['Балтийская'],0.4630904354094654,4,0,5,9,55,0,3.4056990263035685,1295.6
Kafedra Vkusa,,3.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",20.0,59.91159200000001,30.3169869,['Технологический институт-1'],0.5667955571901163,17,8,18,23,81,0,2.553076422183584,68.0
Gremi,,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",31.0,59.911876,30.316105,['Технологический институт-1'],0.5455365811582777,15,8,18,22,79,0,2.530505260510157,136.4
Chinar,2.0,4.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",113.0,59.90824350000001,30.3201968,['Фрунзенская'],0.27705677315474503,8,8,18,13,67,0,2.9015231900303537,452.0
Bistro,1.0,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",103.0,59.907048,30.31869499999999,['Фрунзенская'],0.11959330051252852,6,4,14,8,52,0,3.0420331257694824,401.7
Shaverma Yevro Kebab,,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",14.0,59.9114543,30.308050800000004,['Балтийская'],0.6813452803417434,6,6,20,12,93,0,2.695011067350626,54.6
Euro-Kebab,1.0,4.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",367.0,59.9054259,30.3178956,['Фрунзенская'],0.08406097730645233,0,4,12,2,44,0,3.2265723728792053,1468.0
Shaverma Yevro Kebab,,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",90.0,59.9058181,30.3245672,['Фрунзенская'],0.39674394416978587,6,0,4,9,37,0,3.161948492600499,378.0
"Shaverma ""V Gostyakh U Khovanskogo""",2.0,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",449.0,59.91395,30.34893,['Обводный канал'],0.08664641684186618,11,3,20,4,67,0,2.63873304516268,1840.8999999999999
Burger King,2.0,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",171.0,59.91472769999999,30.34971070000001,['Обводный канал'],0.019860189161889467,11,3,22,6,78,0,2.588605134392513,666.9
Antonio Pasta Pesto I Teplo,,4.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",17.0,59.91494670000001,30.3559237,['Обводный канал'],0.3681920785407631,3,3,19,3,80,0,2.774508457754428,83.30000000000001
Vkusno I Nedorogo,,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",30.0,59.90743440000001,30.34723810000001,['Обводный канал'],0.8178031946278218,4,0,11,4,30,0,3.24273465196107,135.0
CITY Soup в ТЦ Лигов,,3.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",5.0,59.9149822,30.34815279999999,['Обводный канал'],0.07468681743629943,13,3,23,6,83,0,2.5179584539356785,17.0
Khiva,1.0,3.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",43.0,59.9061273,30.4050499,['Елизаровская'],1.4778603528443424,5,0,7,4,13,0,5.4866213409337155,159.1
БУРГЕР КИНГ,2.0,3.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1195.0,59.906066,30.48221790000001,['Улица Дыбенко'],0.17832959027206646,0,1,13,5,20,0,9.364434150277805,4421.5
Banketnyy Zal Dlya Svad'by - Flambe,,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",86.0,59.9193085,30.2850101,['Балтийская'],1.5614367548220665,17,5,4,32,55,0,2.7601379240902886,395.59999999999997
Shaverma,,3.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",16.0,59.91799109999999,30.2777135,['Балтийская'],1.6972661687428536,8,4,6,12,34,0,3.1770949607960755,54.4
Tayvan',2.0,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",131.0,59.918014,30.296892100000004,['Балтийская'],1.2068129949777449,21,6,7,43,79,0,2.3722752400142664,563.3
Kharchevnya,,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",46.0,59.91871399999999,30.296256,['Технологический институт-1'],1.266213236406632,23,6,7,49,86,0,2.3373927884573957,193.20000000000002
Golden,2.0,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",160.0,59.918639,30.295577,['Балтийская'],1.2856458337714012,17,6,5,41,81,0,2.3692872235843647,704.0
Stolovaya,1.0,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",465.0,59.91607899999999,30.29919609999999,['Балтийская'],0.9842035676358596,13,4,8,34,61,0,2.4639608507835,1906.4999999999998
Stolovaya,,3.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",30.0,59.92286509999999,30.3076881,['Садовая'],0.715169322786763,34,12,17,68,105,0,1.572795124393347,105.0
Argo,,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.0,59.92412119999999,30.2944458,['Садовая'],1.3264348323453279,35,12,4,60,98,0,2.0191117414344615,179.39999999999998
Пельмень,1.0,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",77.0,59.9240826,30.3057087,['Садовая'],0.7333735882466359,44,15,9,74,113,0,1.5392578579130294,346.5
Subway,2.0,3.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.0,59.92434670000001,30.3210498,['Садовая'],0.2869987518328682,29,8,33,52,100,0,1.1140587218662472,151.70000000000002
Kebab&Burger,,5.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.0,59.9159872,30.3168715,['Технологический институт-1'],0.11555098804285747,21,6,9,31,81,0,2.072858538288932,15.0
Street,,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",43.0,59.924379,30.3179889,['Садовая'],0.2912684068499472,41,10,31,57,112,0,1.152275809458191,189.20000000000002
Al' Shark,1.0,3.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",15.0,59.91937219999999,30.3389626,['Пушкинская'],0.37188606762414345,35,7,18,38,85,0,1.8403283834712416,48.0
Khachapuri I Vino,2.0,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1860.0,59.9232005,30.341659700000008,['Пушкинская'],0.34347115516703103,40,23,26,56,118,0,1.557882691526414,8556.0
Otdykh,2.0,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",171.0,59.9215873,30.3450687,['Пушкинская'],0.5254090473247182,35,29,30,51,120,0,1.817403018228204,786.5999999999999
Stolovaya,1.0,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",101.0,59.92333000000001,30.35537200000001,['Лиговский проспект'],0.2878621665150949,32,31,31,45,117,0,2.1107257672458197,434.29999999999995
Bokkachcho,2.0,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",436.0,59.918995,30.3534724,['Лиговский проспект'],0.2189306975549242,15,16,27,22,105,0,2.3457262934239274,1874.8
Dining Plate,1.0,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",373.0,59.92109490000001,30.35579279999999,['Лиговский проспект'],0.049407948924210285,17,18,24,24,98,0,2.2808706583525704,1529.3
Soup kharcho,2.0,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",248.0,59.9224115,30.3480369,['Лиговский проспект'],0.4437680938795023,39,30,30,52,118,0,1.861051096370869,1091.2
Stolovaya,2.0,3.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",224.0,59.9142595,30.3531235,['Обводный канал'],0.2160589800223044,11,3,17,6,65,0,2.7396262461702263,828.8000000000001
Snapy,,3.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",19.0,59.9207346,30.35652169999999,['Лиговский проспект'],0.07142355866943903,15,18,26,22,92,0,2.3378939454276866,58.9
The Golden Fleece,1.0,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",157.0,59.9169989,30.4009404,['Площадь Александра Невского-1'],1.2037488831793195,2,2,5,2,7,0,4.687041121419064,659.4
Cheburekmi,,3.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.0,59.92184499999999,30.45928690000001,['Проспект Большевиков'],0.482345885862363,0,0,7,1,15,0,7.664495498756935,11.100000000000001
Центр паровых коктейлей Black Work,,4.9,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",107.0,59.92189339999999,30.45963029999999,['Проспект Большевиков'],0.4680964995250302,0,0,7,1,16,0,7.682417880696621,524.3000000000001
Filadel'fiya,2.0,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",459.0,59.9137981,30.4771193,['Улица Дыбенко'],0.7747766606245854,0,1,21,6,24,0,8.835488659065224,1927.8000000000002
Sushi Koto,,4.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",20.0,59.9191914,30.51620729999999,['Улица Дыбенко'],2.2508960876167365,0,0,2,1,5,0,10.852949725077096,96.0
Lounge Bar,,4.0,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",77.0,59.9165801,30.517305799999992,['Улица Дыбенко'],2.151374568326533,0,0,3,1,10,0,10.96241067566278,308.0
"пиццерия ""Pizza by Bobby""",,5.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,59.9313427,30.240785700000004,['Приморская'],1.9482130868009544,10,4,2,14,31,0,4.689082468509123,10.0
Easy Hummus,,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",88.0,59.92481269999999,30.2406069,['Приморская'],2.6658103018686248,12,2,2,10,18,0,4.803931229538861,343.2
Uyut,1.0,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",197.0,59.92791130000001,30.30708700000001,['Садовая'],0.5885247400712155,104,35,21,103,108,0,1.1974844843745207,807.6999999999999
Kreuzberg kebab 2,2.0,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",162.0,59.92884120000001,30.3055321,['Садовая'],0.6973780857165824,105,39,11,103,106,0,1.2148916701631696,696.6
My Friends PUB,2.0,4.6,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",400.0,59.92576099999999,30.3052905,['Садовая'],0.6943826895125407,58,24,8,81,110,0,1.4255845232580717,1839.9999999999998
Thai Way Cafe,,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",44.0,59.93191700000001,30.2974937,['Адмиралтейская'],1.0678290640730068,96,37,2,102,65,0,1.5288228309707257,193.60000000000002
Rada & K,2.0,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1123.0,59.928082,30.3227861,['Садовая'],0.1742108609006409,53,42,38,65,95,0,0.6878687408071504,4828.9
Uyut,1.0,4.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",45.0,59.92976450000001,30.31191519999999,['Садовая'],0.4362532806212131,112,37,31,106,123,0,0.8577803657253931,180.0
Afrasiab,,4.0,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",111.0,59.92627539999999,30.3192659,['Садовая'],0.06842322164827429,41,15,33,58,105,0,0.9292584129568439,444.0
Buuza Room,2.0,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",722.0,59.92834879999999,30.316146000000003,['Садовая'],0.1663761629698879,66,36,35,79,109,0,0.8004511635596153,3104.6
Закрытый кальянный lounge Дом Сведенных Мостов,,4.7,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",303.0,59.9306005,30.3210579,['Садовая'],0.39295220373123696,86,65,45,100,121,0,0.4436569369505225,1424.1000000000001
Lounge & bar Monte-Cristo,,4.5,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",418.0,59.9308217,30.3220737,['Садовая'],0.4264290119913593,93,74,47,111,115,0,0.39915070055042534,1881.0
Кальян-бар LoungeRoom,,4.4,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",520.0,59.9265745,30.34304539999999,['Достоевская'],0.2250403235579396,51,33,30,80,89,0,1.3424096268689933,2288.0
Best Burger,,3.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,59.9259135,30.3422555,['Достоевская'],0.3097314811744625,49,24,26,79,94,0,1.3574775153114496,6.0
Joly Woo,2.0,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",172.0,59.9269067,30.3437687,['Достоевская'],0.1705341367652312,53,35,34,78,93,0,1.3513926002007595,756.8000000000001
Mahrasa №1,2.0,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",122.0,59.926699600000006,30.34414639999999,['Достоевская'],0.1771452757988384,54,35,34,80,98,0,1.3821556208069599,475.8
Dekabrist Steykbar,2.0,4.5,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",326.0,59.9265389,30.3251959,['Садовая'],0.27633964659582083,45,35,35,53,102,0,0.8544224724696626,1467.0
Sova Art Prostranstvo,,4.8,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",894.0,59.9231855,30.33692139999999,['Пушкинская'],0.11701201006029455,38,23,25,59,80,0,1.4112026824816442,4291.2
Chachapuri,2.0,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",877.0,59.92974400000001,30.3547795,['Площадь Восстания'],0.2082438401059484,70,58,46,86,105,0,1.766678109792848,4034.2
PITA'S Невский 65,,4.4,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1954.0,59.931748000000006,30.353305,['Площадь Восстания'],0.09101369764265944,86,53,42,105,99,0,1.6359799122817424,8597.6
Ирландский паб O`Hooligans,2.0,4.6,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2628.0,59.9297625,30.37451859999999,['Площадь Восстания'],0.8145776170889385,26,22,14,19,71,0,2.8425290616093495,12088.8
Chela,2.0,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",84.0,59.92963899999999,30.3646404,['Площадь Восстания'],0.3154255542400731,54,37,27,50,110,0,2.3036137845492464,361.2
Ukusno,2.0,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",334.0,59.9275456,30.3605213,['Площадь Восстания'],0.4387627394035837,57,35,38,63,117,0,2.148559970839223,1536.3999999999999
Deep eMotion,,4.7,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",123.0,59.930972,30.3593439,['Площадь Восстания'],0.08043138589158166,71,49,36,70,119,0,1.9835584291703319,578.1
Burger King,2.0,3.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",565.0,59.9272533,30.3609725,['Площадь Восстания'],0.4724785208891727,57,31,34,63,121,0,2.18359343610939,2147.0
Loza,2.0,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",101.0,59.928755,30.37317509999999,['Площадь Восстания'],0.7783794341000417,38,25,19,31,72,0,2.7908490702401307,454.5
Venezia,2.0,4.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1008.0,59.92926230000001,30.36898900000001,['Площадь Восстания'],0.5422430800958892,47,29,23,37,93,0,2.5500783008548176,4838.4
"Cafe ""U Zakhara""",1.0,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1612.0,59.92987609999999,30.410081,['Новочеркасская'],0.1699076356861388,0,1,7,2,33,0,4.811834469905098,6931.599999999999
Subway,2.0,3.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",12.0,59.93156200000001,30.4419649,['Ладожская'],0.17019616280769104,5,4,19,2,20,0,6.576838473204161,45.599999999999994
Sushi,,3.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",6.0,59.92989719999999,30.6231562,['Улица Дыбенко'],8.209381454965829,0,0,0,0,1,0,16.708501128726912,19.799999999999997
Shakherezada,2.0,3.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",12.0,59.9382809,30.2305315,['Приморская'],1.1651300137950094,4,2,1,16,21,0,5.270724226638474,36.0
Subway,2.0,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",347.0,59.9329788,30.2636286,['Василеостровская'],1.3741449847735103,31,6,3,32,42,0,3.403685175779799,1457.4
Kafe,,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",11.0,59.94171530000001,30.274091100000003,['Василеостровская'],0.2644383050458424,22,21,6,23,105,0,2.9375101082621677,48.400000000000006
Ramen Shifu,1.0,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",290.0,59.937516,30.28202000000001,['Василеостровская'],0.6403181818442899,43,16,2,61,66,0,2.4011198823662054,1334.0
Shaverma,1.0,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",589.0,59.9393652,30.281721,['Василеостровская'],0.4439770913799177,36,18,4,51,75,0,2.4575138628684203,2532.7
Кафе Complimenti,,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",201.0,59.94146329999999,30.2809724,['Василеостровская'],0.2265477789117223,36,21,4,51,99,0,2.5621193015167223,924.5999999999999
ЯблокоRoom,1.0,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",245.0,59.93193499999999,30.302503,['Адмиралтейская'],0.8198956989039392,105,41,4,105,74,0,1.2530995170480865,1004.4999999999999
Декабрист Кафе,2.0,4.3,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",594.0,59.93372539999999,30.303443800000004,['Адмиралтейская'],0.6831670990010342,103,40,6,117,70,0,1.1760010107972036,2554.2
Literary Cafe,3.0,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1054.0,59.93646469999999,30.31859529999999,['Адмиралтейская'],0.21746859613645889,162,82,14,181,83,0,0.4136211487404145,4637.6
Jack & Chan,2.0,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1211.0,59.93727220000001,30.3368722,['Гостиный Двор'],0.3987423269225711,142,85,26,185,77,0,0.774014398823231,5449.5
Советское кафе Квартирка,2.0,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1264.0,59.9351616,30.33741179999999,['Гостиный Двор'],0.23828131673332026,134,77,31,175,75,0,0.7322542608798844,5814.4
Marketplace,2.0,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2010.0,59.93676980000001,30.3274886,['Гостиный Двор'],0.131717864467089,147,75,25,171,97,0,0.3328374042867183,8844.0
Chili cafe,2.0,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",530.0,59.9344444,30.326389,['Гостиный Двор'],0.13542288067307848,136,75,41,148,109,0,0.11147970524706415,2385.0
Park Giuseppe,3.0,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1002.0,59.941066000000006,30.33025769999999,['Гостиный Двор'],0.6334097779296437,124,48,13,150,73,0,0.8309736497871612,4509.0
Adzhabsandal,,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",182.0,59.93835579999999,30.34670310000001,['Гостиный Двор'],0.8676871992796129,101,41,29,131,100,0,1.327196386851301,819.0
Sukhumi,2.0,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",16.0,59.9323763,30.35235470000001,['Площадь Восстания'],0.16632794485552374,90,53,38,115,104,0,1.5730431397760203,72.0
Banquet Facilities Vera,,5.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,59.9370994,30.3736696,['Площадь Восстания'],0.9722622214794292,28,30,6,25,85,0,2.7703602583312916,10.0
Volshebnaya Skovorodka,1.0,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",74.0,59.93365970000001,30.369778000000004,['Площадь Восстания'],0.5797508966234405,48,37,15,52,113,0,2.5347207936860263,310.8
Лаунж-бар Castle,,4.7,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",128.0,59.9343331,30.3677617,['Площадь Восстания'],0.5216317392251602,45,39,17,52,117,0,2.421296321400653,601.6
Joly Woo Стрит-Фуд Кафе Вьетнамской кухни,2.0,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1238.0,59.93616180000001,30.3598762,['Площадь Восстания'],0.5219719140088076,56,44,26,62,108,0,1.9923495069644837,5447.200000000001
Kolkhi,2.0,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",69.0,59.931889,30.370246,['Площадь Восстания'],0.5546232952549682,49,33,19,45,110,0,2.5731458349026157,317.4
Gauranga,1.0,3.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",22.0,59.936384,30.36385000000001,['Площадь Восстания'],0.5798450614071032,28,36,19,34,98,0,2.2158886905039092,83.6
Кафе ГРЕМИ,2.0,4.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",100.0,59.940551,30.3794821,['Чернышевская'],1.189673003034584,17,5,6,14,66,0,3.15660852745284,470.0
Shef-Shaverma,2.0,4.4,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",736.0,59.939647,30.3776003,['Чернышевская'],1.1377588509925165,18,11,5,11,69,0,3.0324605595405396,3238.4
"Banquet Hall ""Panorama""",,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",128.0,59.93204590000001,30.4033819,['Новочеркасская'],0.6130959335312136,1,2,3,2,29,0,4.41946567018098,550.4
Chaykhana-Pakhvala,3.0,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",730.0,59.93972220000001,30.41861110000001,['Новочеркасская'],1.20076391854811,4,4,6,6,18,0,5.299691480851365,3212.0000000000005
KFC,2.0,3.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",28.0,59.93952960000001,30.4166197,['Новочеркасская'],1.1550427787821704,4,4,6,10,17,0,5.186643210325546,100.8
Kebab master,,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",431.0,59.9479176,30.23353589999999,['Приморская'],0.08915032280730233,5,3,9,8,26,0,5.307206523986295,1810.2
"Pel'mesh""",1.0,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",370.0,59.94553579999999,30.2583355,['Василеостровская'],1.1454994833140018,14,4,1,10,38,0,3.9060607503997438,1665.0
Markus,,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",54.0,59.947464,30.267215000000004,['Василеостровская'],0.7935122977206753,11,8,6,8,64,0,3.5245564602561834,210.6
Zolotaya Maska,,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",81.0,59.94644699999999,30.271874100000005,['Василеостровская'],0.5264933206600635,20,11,3,19,87,0,3.2406530484224154,348.3
Troitskiy Most,2.0,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",193.0,59.9425823,30.2799238,['Василеостровская'],0.1058576641226216,27,21,4,37,109,0,2.6589531790097785,810.6
Dolma,1.0,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",163.0,59.9432181,30.28819590000001,['Василеостровская'],0.5619575856955932,54,18,4,66,73,0,2.2624397372702574,717.2
Burger Syndicate,,4.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",37.0,59.95208419999999,30.2975768,['Спортивная-1'],0.3500819465708039,22,13,5,31,62,0,2.495558498327156,181.3
Russkiye Bliny,1.0,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",183.0,59.9458418,30.3423712,['Чернышевская'],0.982035675351876,43,15,6,63,47,0,1.638757556511136,805.2
Chez Jules,2.0,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",358.0,59.9450677,30.3417375,['Чернышевская'],1.008594489486933,48,15,6,72,50,0,1.549047336927102,1611.0
Botanika,2.0,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",688.0,59.94225079999999,30.3415391,['Гостиный Двор'],1.0116923219114495,90,24,6,107,64,0,1.3102554550691876,3096.0
RiMiNi,2.0,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",235.0,59.9453669,30.3625963,['Чернышевская'],0.1826455757182789,27,25,4,39,90,0,2.4685902338284214,1081.0
Frida,2.0,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",798.0,59.94626299999999,30.358398,['Чернышевская'],0.2045176228429036,25,22,8,40,88,0,2.3252007942297537,3670.7999999999997
Stolovaya,1.0,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",250.0,59.94653510000001,30.3640872,['Чернышевская'],0.3273765321736701,20,17,4,31,79,0,2.607089810988873,1050.0
Fit Fresh Bar,,4.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",17.0,59.9420633,30.36732,['Чернышевская'],0.5060612414362826,18,24,4,20,111,0,2.5514335820228276,81.6
Kafe Dv,2.0,4.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",154.0,59.94666669999999,30.3794444,['Чернышевская'],1.1253238777404768,16,2,2,17,36,0,3.3731434031063436,739.1999999999999
"Sushi-Kafe, Ooo ""501""",,4.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,59.94795200000001,30.389212,['Чернышевская'],1.689286032924847,5,6,2,13,20,0,3.930746790378696,4.0
Pizzeria SamoBar,2.0,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",22.0,59.94903409999999,30.408242600000005,['Новочеркасская'],2.2107627549261757,0,8,0,8,15,0,4.966605201801017,90.19999999999999
Samsa,,4.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,59.94974999999999,30.464108000000003,['Ладожская'],2.369685557749178,0,0,12,2,20,0,7.996177729556841,8.0
Shakherezada,2.0,4.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",270.0,59.94731090000001,30.4744924,['Ладожская'],2.5645709448381497,0,0,15,2,27,0,8.513262606246037,1080.0
